InvoiceNo,Date,Month,Day,weekday/weekend,Year Qrt,StoreID,ProductID,Category,Quantity,UnitPrice,Discount,CostPerUnit,CustomerType,PaymentMode,Revenue,Total cost,Profit margin,
INV1000001,"Saturday, December 7, 2024",Dec,Saturday,Weekend,2024-Q4,STR041,PRD0039,Clothing,7,4287.51,0,1742.57,Returning,Cash,30012.57,12197.99,17814.58,
INV1000002,"Wednesday, July 24, 2024",Jul,Wednesday,Weekday,2024-Q3,STR024,PRD0113,Shoes,1,7894.31,0,1180.1,New,Card,7894.31,1180.1,6714.21,
INV1000003,"Wednesday, June 4, 2025",Jun,Wednesday,Weekday,2025-Q2,STR005,PRD0098,Shoes,4,4635.48,10,939.86,Returning,Card,18541.92,3759.44,14782.48,
INV1000004,"Thursday, January 2, 2025",Jan,Thursday,Weekday,2025-Q1,STR014,PRD0070,Accessories,4,7626.07,10,654.94,Returning,Card,30504.28,2619.76,27884.52,
INV1000005,"Monday, July 14, 2025",Jul,Monday,Weekday,2025-Q3,STR016,PRD0029,Clothing,1,788.12,5,1382.58,Returning,Cash,788.12,1382.58,-594.46,
INV1000006,"Monday, October 6, 2025",Oct,Monday,Weekday,2025-Q4,STR005,PRD0005,Clothing,4,4368.36,0,1241.93,Returning,Digital,17473.44,4967.72,12505.72,
INV1000007,"Saturday, February 24, 2024",Feb,Saturday,Weekend,2024-Q1,STR037,PRD0061,Accessories,2,2657.07,5,1958.69,Returning,Digital,5314.14,3917.38,1396.76,
INV1000008,"Sunday, March 10, 2024",Mar,Sunday,Weekend,2024-Q1,STR042,PRD0083,Shoes,1,1508.61,0,1163.55,Returning,Card,1508.61,1163.55,345.06, 
INV1000009,"Thursday, June 5, 2025",Jun,Thursday,Weekday,2025-Q2,STR016,PRD0112,Shoes,5,7447.51,20,586.78,Returning,Digital,37237.55,2933.9,34303.65,
INV1000010,"Wednesday, June 26, 2024",Jun,Wednesday,Weekday,2024-Q2,STR006,PRD0097,Shoes,1,6910.61,5,1726.66,New,Cash,6910.61,1726.66,5183.95,
INV1000011,"Monday, November 3, 2025",Nov,Monday,Weekday,2025-Q4,STR025,PRD0034,Clothing,5,4669.33,0,2171.2,New,Cash,23346.65,10856,12490.65,
INV1000012,"Thursday, January 11, 2024",Jan,Thursday,Weekday,2024-Q1,STR004,PRD0075,Accessories,3,7436.65,0,1109.07,New,Card,22309.95,3327.21,18982.74,
INV1000013,"Friday, March 22, 2024",Mar,Friday,Weekday,2024-Q1,STR012,PRD0009,Clothing,1,3177.66,0,964.84,Returning,Cash,3177.66,964.84,2212.82,
INV1000014,"Monday, October 6, 2025",Oct,Monday,Weekday,2025-Q4,STR043,PRD0075,Accessories,3,5782.7,0,1246.52,Returning,Card,17348.1,3739.56,13608.54,
INV1000015,"Tuesday, March 4, 2025",Mar,Tuesday,Weekday,2025-Q1,STR020,PRD0059,Accessories,1,3366.92,0,451.82,New,Cash,3366.92,451.82,2915.1,
INV1000016,"Monday, December 2, 2024",Dec,Monday,Weekday,2024-Q4,STR017,PRD0017,Clothing,6,4699.67,20,597.88,Returning,Card,28198.02,3587.28,24610.74,
INV1000017,"Saturday, March 9, 2024",Mar,Saturday,Weekend,2024-Q1,STR043,PRD0014,Clothing,2,4725.19,0,407.9,New,Cash,9450.38,815.8,8634.58,
INV1000018,"Sunday, August 4, 2024",Aug,Sunday,Weekend,2024-Q3,STR022,PRD0027,Clothing,1,3593.74,5,315.21,Returning,Digital,3593.74,315.21,3278.53,
INV1000019,"Saturday, May 4, 2024",May,Saturday,Weekend,2024-Q2,STR003,PRD0001,Clothing,7,2001,25,1120.74,Returning,Cash,14007,7845.18,6161.82,
INV1000020,"Tuesday, December 3, 2024",Dec,Tuesday,Weekday,2024-Q4,STR005,PRD0114,Shoes,3,5775.34,0,377.75,New,Card,17326.02,1133.25,16192.77,
INV1000021,"Monday, June 16, 2025",Jun,Monday,Weekday,2025-Q2,STR003,PRD0046,Accessories,2,2337.74,0,487.97,Returning,Digital,4675.48,975.94,3699.54,
INV1000022,"Wednesday, January 15, 2025",Jan,Wednesday,Weekday,2025-Q1,STR016,PRD0111,Shoes,4,1970.01,0,1975.74,Returning,Card,7880.04,7902.96,-22.92,
INV1000023,"Friday, November 7, 2025",Nov,Friday,Weekday,2025-Q4,STR043,PRD0111,Shoes,3,6092.41,0,1586.42,New,Digital,18277.23,4759.26,13517.97,
INV1000024,"Thursday, September 25, 2025",Sep,Thursday,Weekday,2025-Q3,STR023,PRD0040,Clothing,1,4192.41,0,1374.75,New,Cash,4192.41,1374.75,2817.66,
INV1000025,"Thursday, October 24, 2024",Oct,Thursday,Weekday,2024-Q4,STR023,PRD0083,Shoes,2,4467.72,15,1297.65,Returning,Digital,8935.44,2595.3,6340.14,
INV1000026,"Saturday, April 26, 2025",Apr,Saturday,Weekend,2025-Q2,STR039,PRD0056,Accessories,3,3653.16,5,1401.4,New,Digital,10959.48,4204.2,6755.28,
INV1000027,"Monday, October 6, 2025",Oct,Monday,Weekday,2025-Q4,STR001,PRD0067,Accessories,4,9278.08,10,543.42,Returning,Digital,37112.32,2173.68,34938.64,
INV1000028,"Tuesday, April 22, 2025",Apr,Tuesday,Weekday,2025-Q2,STR040,PRD0041,Accessories,4,6734.86,20,1222.67,Returning,Card,26939.44,4890.68,22048.76,
INV1000029,"Friday, May 17, 2024",May,Friday,Weekday,2024-Q2,STR036,PRD0017,Clothing,2,1363.28,0,553.07,Returning,Digital,2726.56,1106.14,1620.42,
INV1000030,"Tuesday, October 15, 2024",Oct,Tuesday,Weekday,2024-Q4,STR020,PRD0037,Clothing,4,1445.82,10,1867.43,Returning,Digital,5783.28,7469.72,-1686.44,
INV1000031,"Friday, August 15, 2025",Aug,Friday,Weekday,2025-Q3,STR048,PRD0022,Clothing,5,3464.83,10,1303.1,Returning,Cash,17324.15,6515.5,10808.65,
INV1000032,"Saturday, February 3, 2024",Feb,Saturday,Weekend,2024-Q1,STR013,PRD0019,Clothing,5,609.91,5,1470.75,Returning,Card,3049.55,7353.75,-4304.2,
INV1000033,"Saturday, March 9, 2024",Mar,Saturday,Weekend,2024-Q1,STR026,PRD0032,Clothing,3,1164.07,20,1598.05,Returning,Card,3492.21,4794.15,-1301.94,
INV1000034,"Friday, April 5, 2024",Apr,Friday,Weekday,2024-Q2,STR030,PRD0007,Clothing,3,3008.33,0,2094.91,Returning,Card,9024.99,6284.73,2740.26,
INV1000035,"Sunday, April 20, 2025",Apr,Sunday,Weekend,2025-Q2,STR021,PRD0097,Shoes,5,7218.27,10,2082.42,Returning,Digital,36091.35,10412.1,25679.25,
INV1000036,"Wednesday, May 7, 2025",May,Wednesday,Weekday,2025-Q2,STR031,PRD0058,Accessories,2,2814.16,10,1335.17,New,Cash,5628.32,2670.34,2957.98,
INV1000037,"Tuesday, April 9, 2024",Apr,Tuesday,Weekday,2024-Q2,STR019,PRD0031,Clothing,2,1722.72,5,1515.74,Returning,Digital,3445.44,3031.48,413.96,
INV1000038,"Wednesday, June 19, 2024",Jun,Wednesday,Weekday,2024-Q2,STR005,PRD0054,Accessories,2,4253.71,5,1911.68,Returning,Card,8507.42,3823.36,4684.06,
INV1000039,"Sunday, November 26, 2023",Nov,Sunday,Weekend,2023-Q4,STR045,PRD0003,Clothing,5,4355.29,0,688.69,New,Card,21776.45,3443.45,18333,
INV1000040,"Thursday, March 13, 2025",Mar,Thursday,Weekday,2025-Q1,STR022,PRD0086,Shoes,3,5689.82,0,496.93,Returning,Digital,17069.46,1490.79,15578.67,
INV1000041,"Thursday, March 6, 2025",Mar,Thursday,Weekday,2025-Q1,STR038,PRD0073,Accessories,2,6731.1,5,1471.35,Returning,Cash,13462.2,2942.7,10519.5,
INV1000042,"Friday, January 24, 2025",Jan,Friday,Weekday,2025-Q1,STR021,PRD0044,Accessories,3,7683.93,15,618.42,New,Card,23051.79,1855.26,21196.53,
INV1000043,"Thursday, December 21, 2023",Dec,Thursday,Weekday,2023-Q4,STR023,PRD0029,Clothing,2,3425.65,10,1902.63,New,Card,6851.3,3805.26,3046.04,
INV1000044,"Sunday, August 3, 2025",Aug,Sunday,Weekend,2025-Q3,STR014,PRD0060,Accessories,1,7084.81,0,908.61,Returning,Cash,7084.81,908.61,6176.2,
INV1000045,"Monday, June 10, 2024",Jun,Monday,Weekday,2024-Q2,STR002,PRD0040,Clothing,3,3091.09,0,1392.33,Returning,Cash,9273.27,4176.99,5096.28,
INV1000046,"Sunday, June 22, 2025",Jun,Sunday,Weekend,2025-Q2,STR045,PRD0099,Shoes,6,2971.4,15,2088.41,Returning,Card,17828.4,12530.46,5297.94,
INV1000047,"Monday, November 25, 2024",Nov,Monday,Weekday,2024-Q4,STR022,PRD0002,Clothing,4,4323.09,0,166.54,New,Card,17292.36,666.16,16626.2,
INV1000048,"Tuesday, March 11, 2025",Mar,Tuesday,Weekday,2025-Q1,STR042,PRD0035,Clothing,2,3271.61,15,956.72,Returning,Card,6543.22,1913.44,4629.78,
INV1000049,"Wednesday, August 6, 2025",Aug,Wednesday,Weekday,2025-Q3,STR006,PRD0036,Clothing,2,4467.34,5,1031.17,New,Digital,8934.68,2062.34,6872.34,
INV1000050,"Wednesday, July 23, 2025",Jul,Wednesday,Weekday,2025-Q3,STR012,PRD0063,Accessories,2,2357.56,0,1296.18,Returning,Card,4715.12,2592.36,2122.76,
INV1000051,"Saturday, March 22, 2025",Mar,Saturday,Weekend,2025-Q1,STR016,PRD0093,Shoes,3,3726.28,0,1640.37,Returning,Cash,11178.84,4921.11,6257.73,
INV1000052,"Wednesday, March 19, 2025",Mar,Wednesday,Weekday,2025-Q1,STR015,PRD0052,Accessories,1,7010.34,5,459.45,Returning,Digital,7010.34,459.45,6550.89,
INV1000053,"Tuesday, June 4, 2024",Jun,Tuesday,Weekday,2024-Q2,STR045,PRD0059,Accessories,3,2927.89,0,369.65,Returning,Digital,8783.67,1108.95,7674.72,
INV1000054,"Sunday, May 11, 2025",May,Sunday,Weekend,2025-Q2,STR014,PRD0095,Shoes,3,4286.23,25,240.53,New,Card,12858.69,721.59,12137.1,
INV1000055,"Monday, January 15, 2024",Jan,Monday,Weekday,2024-Q1,STR020,PRD0002,Clothing,3,3686.08,0,125.49,Returning,Digital,11058.24,376.47,10681.77,
INV1000056,"Saturday, November 2, 2024",Nov,Saturday,Weekend,2024-Q4,STR007,PRD0112,Shoes,4,888.31,5,548.64,Returning,Cash,3553.24,2194.56,1358.68,
INV1000057,"Thursday, September 26, 2024",Sep,Thursday,Weekday,2024-Q3,STR041,PRD0088,Shoes,1,1185.99,5,918.22,Returning,Card,1185.99,918.22,267.77,
INV1000058,"Saturday, February 15, 2025",Feb,Saturday,Weekend,2025-Q1,STR039,PRD0102,Shoes,5,5252.61,0,1631.41,Returning,Cash,26263.05,8157.05,18106,
INV1000059,"Friday, September 26, 2025",Sep,Friday,Weekday,2025-Q3,STR048,PRD0013,Clothing,1,4764.16,0,132.84,New,Cash,4764.16,132.84,4631.32,
INV1000060,"Sunday, July 14, 2024",Jul,Sunday,Weekend,2024-Q3,STR001,PRD0053,Accessories,4,4669.89,0,630.04,Returning,Cash,18679.56,2520.16,16159.4,
INV1000061,"Sunday, June 9, 2024",Jun,Sunday,Weekend,2024-Q2,STR015,PRD0034,Clothing,3,4045.23,10,2046.41,Returning,Digital,12135.69,6139.23,5996.46,
INV1000062,"Wednesday, June 25, 2025",Jun,Wednesday,Weekday,2025-Q2,STR005,PRD0008,Clothing,3,1246.65,10,244.78,New,Card,3739.95,734.34,3005.61,
INV1000063,"Sunday, February 11, 2024",Feb,Sunday,Weekend,2024-Q1,STR045,PRD0052,Accessories,5,9443.96,5,498.16,Returning,Cash,47219.8,2490.8,44729,
INV1000064,"Thursday, October 9, 2025",Oct,Thursday,Weekday,2025-Q4,STR044,PRD0108,Shoes,4,6995.72,0,958.33,Returning,Cash,27982.88,3833.32,24149.56,
INV1000065,"Sunday, February 9, 2025",Feb,Sunday,Weekend,2025-Q1,STR034,PRD0084,Shoes,6,3984.05,30,1645.62,Returning,Card,23904.3,9873.72,14030.58,
INV1000066,"Wednesday, September 11, 2024",Sep,Wednesday,Weekday,2024-Q3,STR043,PRD0014,Clothing,4,4359.8,10,445.26,New,Cash,17439.2,1781.04,15658.16,
INV1000067,"Wednesday, November 22, 2023",Nov,Wednesday,Weekday,2023-Q4,STR017,PRD0042,Accessories,8,1424.44,20,207.46,New,Card,11395.52,1659.68,9735.84,
INV1000068,"Tuesday, August 20, 2024",Aug,Tuesday,Weekday,2024-Q3,STR040,PRD0097,Shoes,2,4389.15,0,1946.43,Returning,Card,8778.3,3892.86,4885.44,
INV1000069,"Tuesday, April 30, 2024",Apr,Tuesday,Weekday,2024-Q2,STR008,PRD0004,Clothing,1,4879.16,0,546.92,Returning,Cash,4879.16,546.92,4332.24,
INV1000070,"Saturday, September 14, 2024",Sep,Saturday,Weekend,2024-Q3,STR008,PRD0060,Accessories,3,9486.49,0,869.47,Returning,Digital,28459.47,2608.41,25851.06,
INV1000071,"Monday, April 8, 2024",Apr,Monday,Weekday,2024-Q2,STR036,PRD0019,Clothing,2,2226.14,5,1914.31,Returning,Digital,4452.28,3828.62,623.66,
INV1000072,"Saturday, September 21, 2024",Sep,Saturday,Weekend,2024-Q3,STR022,PRD0101,Shoes,5,4455.71,0,137.43,Returning,Cash,22278.55,687.15,21591.4,
INV1000073,"Saturday, March 1, 2025",Mar,Saturday,Weekend,2025-Q1,STR035,PRD0062,Accessories,3,3647.7,5,1343.33,New,Card,10943.1,4029.99,6913.11,
INV1000074,"Sunday, December 15, 2024",Dec,Sunday,Weekend,2024-Q4,STR050,PRD0053,Accessories,6,723.38,10,666.7,New,Digital,4340.28,4000.2,340.08,
INV1000075,"Saturday, March 1, 2025",Mar,Saturday,Weekend,2025-Q1,STR022,PRD0112,Shoes,2,1522.63,0,683.31,Returning,Digital,3045.26,1366.62,1678.64,
INV1000076,"Wednesday, January 1, 2025",Jan,Wednesday,Weekday,2025-Q1,STR005,PRD0061,Accessories,7,7880.8,10,1793.98,Returning,Card,55165.6,12557.86,42607.74,
INV1000077,"Thursday, August 28, 2025",Aug,Thursday,Weekday,2025-Q3,STR049,PRD0063,Accessories,2,8762.12,0,943.2,Returning,Digital,17524.24,1886.4,15637.84,
INV1000078,"Thursday, May 9, 2024",May,Thursday,Weekday,2024-Q2,STR028,PRD0013,Clothing,1,3921.66,0,162.69,New,Digital,3921.66,162.69,3758.97,
INV1000079,"Sunday, June 22, 2025",Jun,Sunday,Weekend,2025-Q2,STR019,PRD0046,Accessories,1,3935.96,5,465.42,New,Card,3935.96,465.42,3470.54,
INV1000080,"Monday, July 15, 2024",Jul,Monday,Weekday,2024-Q3,STR025,PRD0080,Accessories,2,6926.41,5,568.06,Returning,Card,13852.82,1136.12,12716.7,
INV1000081,"Friday, November 8, 2024",Nov,Friday,Weekday,2024-Q4,STR030,PRD0037,Clothing,6,3549.25,5,1446.59,Returning,Card,21295.5,8679.54,12615.96,
INV1000082,"Monday, June 30, 2025",Jun,Monday,Weekday,2025-Q2,STR025,PRD0110,Shoes,2,4279.1,5,1711.24,New,Digital,8558.2,3422.48,5135.72,
INV1000083,"Wednesday, January 10, 2024",Jan,Wednesday,Weekday,2024-Q1,STR026,PRD0036,Clothing,5,536.44,15,1316.64,Returning,Digital,2682.2,6583.2,-3901,
INV1000084,"Sunday, June 2, 2024",Jun,Sunday,Weekend,2024-Q2,STR050,PRD0103,Shoes,5,2456.85,0,1563.76,Returning,Card,12284.25,7818.8,4465.45,
INV1000085,"Thursday, February 13, 2025",Feb,Thursday,Weekday,2025-Q1,STR009,PRD0081,Shoes,2,1499.58,0,1226.08,New,Cash,2999.16,2452.16,547,
INV1000086,"Friday, November 29, 2024",Nov,Friday,Weekday,2024-Q4,STR048,PRD0054,Accessories,4,2003.71,5,1603.08,Returning,Digital,8014.84,6412.32,1602.52,
INV1000087,"Monday, February 5, 2024",Feb,Monday,Weekday,2024-Q1,STR019,PRD0096,Shoes,2,7066.86,5,925.48,Returning,Digital,14133.72,1850.96,12282.76,
INV1000088,"Thursday, February 27, 2025",Feb,Thursday,Weekday,2025-Q1,STR024,PRD0012,Clothing,4,4058.07,5,854.04,Returning,Digital,16232.28,3416.16,12816.12,
INV1000089,"Monday, June 16, 2025",Jun,Monday,Weekday,2025-Q2,STR024,PRD0014,Clothing,4,3536.76,10,472.34,New,Cash,14147.04,1889.36,12257.68,
INV1000090,"Thursday, December 28, 2023",Dec,Thursday,Weekday,2023-Q4,STR030,PRD0090,Shoes,2,2975.77,0,182.57,Returning,Cash,5951.54,365.14,5586.4,
INV1000091,"Thursday, January 23, 2025",Jan,Thursday,Weekday,2025-Q1,STR030,PRD0048,Accessories,5,6803.72,25,689.24,Returning,Card,34018.6,3446.2,30572.4,
INV1000092,"Tuesday, December 3, 2024",Dec,Tuesday,Weekday,2024-Q4,STR032,PRD0079,Accessories,4,4258.72,0,712.23,New,Card,17034.88,2848.92,14185.96,
INV1000093,"Monday, March 25, 2024",Mar,Monday,Weekday,2024-Q1,STR035,PRD0083,Shoes,4,3382.45,0,1161.38,New,Cash,13529.8,4645.52,8884.28,
INV1000094,"Thursday, March 28, 2024",Mar,Thursday,Weekday,2024-Q1,STR041,PRD0077,Accessories,1,9719.61,0,1507.29,New,Digital,9719.61,1507.29,8212.32,
INV1000095,"Saturday, April 20, 2024",Apr,Saturday,Weekend,2024-Q2,STR014,PRD0076,Accessories,3,2394.73,0,977.65,New,Digital,7184.19,2932.95,4251.24,
INV1000096,"Saturday, December 16, 2023",Dec,Saturday,Weekend,2023-Q4,STR009,PRD0070,Accessories,5,2731.35,10,529.45,New,Cash,13656.75,2647.25,11009.5,
INV1000097,"Monday, November 25, 2024",Nov,Monday,Weekday,2024-Q4,STR048,PRD0054,Accessories,3,5403.03,5,2064.35,Returning,Cash,16209.09,6193.05,10016.04,
INV1000098,"Tuesday, March 25, 2025",Mar,Tuesday,Weekday,2025-Q1,STR043,PRD0067,Accessories,4,3225.81,0,565.88,Returning,Card,12903.24,2263.52,10639.72,
INV1000099,"Thursday, March 28, 2024",Mar,Thursday,Weekday,2024-Q1,STR029,PRD0010,Clothing,3,4546.7,0,145.47,Returning,Digital,13640.1,436.41,13203.69,
INV1000100,"Friday, November 7, 2025",Nov,Friday,Weekday,2025-Q4,STR039,PRD0068,Accessories,5,3160.51,5,161.35,Returning,Cash,15802.55,806.75,14995.8,
INV1000101,"Thursday, January 30, 2025",Jan,Thursday,Weekday,2025-Q1,STR022,PRD0106,Shoes,3,4065.19,0,1273.54,Returning,Card,12195.57,3820.62,8374.95,
INV1000102,"Friday, December 6, 2024",Dec,Friday,Weekday,2024-Q4,STR031,PRD0009,Clothing,5,910.51,5,752.11,Returning,Card,4552.55,3760.55,792,
INV1000103,"Tuesday, September 10, 2024",Sep,Tuesday,Weekday,2024-Q3,STR043,PRD0097,Shoes,2,3845.15,0,2324.08,New,Card,7690.3,4648.16,3042.14,
INV1000104,"Wednesday, June 11, 2025",Jun,Wednesday,Weekday,2025-Q2,STR010,PRD0085,Shoes,2,4271.76,0,978.17,Returning,Digital,8543.52,1956.34,6587.18,
INV1000105,"Sunday, December 17, 2023",Dec,Sunday,Weekend,2023-Q4,STR036,PRD0099,Shoes,8,6692.67,10,2033.41,New,Digital,53541.36,16267.28,37274.08,
INV1000106,"Tuesday, September 23, 2025",Sep,Tuesday,Weekday,2025-Q3,STR020,PRD0044,Accessories,1,3704.93,0,567.02,Returning,Digital,3704.93,567.02,3137.91,
INV1000107,"Monday, April 29, 2024",Apr,Monday,Weekday,2024-Q2,STR006,PRD0096,Shoes,3,4619.48,5,784.22,Returning,Digital,13858.44,2352.66,11505.78,
INV1000108,"Wednesday, January 10, 2024",Jan,Wednesday,Weekday,2024-Q1,STR039,PRD0011,Clothing,4,4475.04,15,444.4,Returning,Card,17900.16,1777.6,16122.56,
INV1000109,"Sunday, February 2, 2025",Feb,Sunday,Weekend,2025-Q1,STR029,PRD0054,Accessories,6,2949.72,0,2071.32,Returning,Card,17698.32,12427.92,5270.4,
INV1000110,"Tuesday, April 9, 2024",Apr,Tuesday,Weekday,2024-Q2,STR039,PRD0008,Clothing,2,534.59,0,244.12,Returning,Cash,1069.18,488.24,580.94,
INV1000111,"Wednesday, April 16, 2025",Apr,Wednesday,Weekday,2025-Q2,STR048,PRD0056,Accessories,4,2004.24,10,1197.1,Returning,Cash,8016.96,4788.4,3228.56,
INV1000112,"Sunday, October 6, 2024",Oct,Sunday,Weekend,2024-Q4,STR048,PRD0006,Clothing,6,2462.99,0,1363.42,New,Card,14777.94,8180.52,6597.42,
INV1000113,"Sunday, November 24, 2024",Nov,Sunday,Weekend,2024-Q4,STR021,PRD0022,Clothing,5,4105.95,15,1493.87,Returning,Card,20529.75,7469.35,13060.4,
INV1000114,"Saturday, April 26, 2025",Apr,Saturday,Weekend,2025-Q2,STR020,PRD0096,Shoes,5,3244.5,0,769.98,New,Digital,16222.5,3849.9,12372.6,
INV1000115,"Monday, March 4, 2024",Mar,Monday,Weekday,2024-Q1,STR023,PRD0094,Shoes,1,7699.21,0,954.59,New,Cash,7699.21,954.59,6744.62,
INV1000116,"Friday, June 20, 2025",Jun,Friday,Weekday,2025-Q2,STR005,PRD0023,Clothing,2,4780.81,5,784.68,Returning,Digital,9561.62,1569.36,7992.26,
INV1000117,"Tuesday, October 8, 2024",Oct,Tuesday,Weekday,2024-Q4,STR042,PRD0082,Shoes,3,7903.03,25,556.83,Returning,Card,23709.09,1670.49,22038.6,
INV1000118,"Wednesday, January 17, 2024",Jan,Wednesday,Weekday,2024-Q1,STR004,PRD0046,Accessories,2,5221.17,5,501.18,Returning,Digital,10442.34,1002.36,9439.98,
INV1000119,"Tuesday, January 2, 2024",Jan,Tuesday,Weekday,2024-Q1,STR006,PRD0079,Accessories,3,6062.57,5,575.4,Returning,Card,18187.71,1726.2,16461.51,
INV1000120,"Thursday, February 15, 2024",Feb,Thursday,Weekday,2024-Q1,STR010,PRD0008,Clothing,2,2527.35,15,298.17,New,Card,5054.7,596.34,4458.36,
INV1000121,"Thursday, September 5, 2024",Sep,Thursday,Weekday,2024-Q3,STR029,PRD0068,Accessories,2,5370.66,0,139.02,Returning,Cash,10741.32,278.04,10463.28,
INV1000122,"Monday, August 5, 2024",Aug,Monday,Weekday,2024-Q3,STR022,PRD0009,Clothing,3,1983.61,0,922.56,Returning,Card,5950.83,2767.68,3183.15,
INV1000123,"Thursday, October 3, 2024",Oct,Thursday,Weekday,2024-Q4,STR010,PRD0043,Accessories,7,1090.57,20,567.89,New,Digital,7633.99,3975.23,3658.76,
INV1000124,"Saturday, March 30, 2024",Mar,Saturday,Weekend,2024-Q1,STR006,PRD0040,Clothing,5,3015.15,0,1265.67,Returning,Cash,15075.75,6328.35,8747.4,
